,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,p_change_t1
482,2015/1/12,11.83,11.96,11.62,11.56,1956023.88,-0.45,-3.73,11.62,11.62,11.62,1956023.88,1956023.88,1956023.88,0.12,0.17
481,2015/1/13,11.64,11.84,11.64,11.53,1337554.38,0.02,0.17,11.63,11.63,11.63,1646789.13,1646789.13,1646789.13,0.08,-2.83
480,2015/1/14,11.63,11.74,11.31,11.16,1608475.25,-0.33,-2.83,11.523,11.523,11.523,1634017.84,1634017.84,1634017.84,0.1,8.66
479,2015/1/15,11.37,12.38,12.29,11.22,2494049.75,0.98,8.66,11.715,11.715,11.715,1849025.82,1849025.82,1849025.82,0.15,2.52
478,2015/1/16,12.1,12.9,12.6,12.06,3274461,0.31,2.52,11.892,11.892,11.892,2134112.85,2134112.85,2134112.85,0.2,-9.21
477,2015/1/19,12,12.34,11.44,11.34,3430422.75,-1.16,-9.21,11.856,11.817,11.817,2428992.63,2350164.5,2350164.5,0.21,3.41
476,2015/1/20,11.61,12.04,11.83,11.43,2475009.75,0.39,3.41,11.894,11.819,11.819,2656483.7,2367999.54,2367999.54,0.15,7.27
475,2015/1/21,11.76,12.9,12.69,11.65,3513149.75,0.86,7.27,12.17,11.928,11.928,3037418.6,2511143.31,2511143.31,0.22,-0.47
474,2015/1/22,12.61,12.82,12.63,12.39,2491393.25,-0.06,-0.47,12.238,12.006,12.006,3036887.3,2508948.86,2508948.86,0.15,1.5
473,2015/1/23,12.65,13.26,12.82,12.56,3113847.25,0.19,1.5,12.282,12.087,12.087,3004764.55,2569438.7,2569438.7,0.19,2.11
472,2015/1/26,12.68,13.2,13.09,12.54,2327075.5,0.27,2.11,12.612,12.234,12.178,2784095.1,2606543.86,2547405.68,0.14,-3.67
471,2015/1/27,13.07,13.21,12.61,12.41,2524166.75,-0.48,-3.67,12.768,12.331,12.214,2793926.5,2725205.1,2545469.11,0.16,-2.85
470,2015/1/28,12.44,12.55,12.25,12.2,1671605.88,-0.36,-2.85,12.68,12.425,12.217,2425617.73,2731518.16,2478248.86,0.1,-2.2
469,2015/1/29,11.99,12.13,11.98,11.7,1821135.62,-0.27,-2.2,12.55,12.394,12.2,2291566.2,2664226.75,2431312.2,0.11,-2.84
468,2015/1/30,12.04,12.11,11.64,11.61,1413740.5,-0.34,-2.84,12.314,12.298,12.163,1951544.85,2478154.7,2363474.08,0.09,-3.61
467,2015/2/2,11.49,11.57,11.22,11.21,1342743.12,-0.42,-3.61,11.94,12.276,12.104,1754678.37,2269386.74,2299678.4,0.08,4.19
466,2015/2/3,11.42,11.77,11.69,11.22,1688846.5,0.47,4.19,11.756,12.262,12.079,1587614.32,2190770.41,2263747.11,0.1,-2.4
465,2015/2/4,11.79,11.92,11.41,11.39,1615379.12,-0.28,-2.4,11.588,12.134,12.042,1576368.97,2000993.35,2227726.67,0.1,-2.28
464,2015/2/5,11.63,11.64,11.15,11.14,1484385.62,-0.26,-2.28,11.422,11.986,11.995,1509018.97,1900292.59,2188603.45,0.09,-2.33
463,2015/2/6,11.11,11.12,10.89,10.78,1291648.62,-0.26,-2.33,11.272,11.793,11.94,1484600.6,1718072.72,2143755.71,0.08,1.29
462,2015/2/9,10.79,11.17,11.03,10.7,1106604.62,0.14,1.29,11.234,11.587,11.911,1437372.9,1596025.64,2101284.75,0.07,1.81
461,2015/2/10,10.98,11.23,11.23,10.92,872538.81,0.2,1.81,11.142,11.449,11.89,1274111.36,1430862.84,2078033.97,0.05,-0.62
460,2015/2/11,11.25,11.28,11.16,11.11,593227.44,-0.07,-0.62,11.092,11.34,11.883,1069681.02,1323025,2027271.58,0.04,0.18
459,2015/2/12,11.15,11.27,11.18,10.91,785475,0.02,0.18,11.098,11.26,11.827,929898.9,1219458.94,1941842.84,0.05,0
458,2015/2/13,11.19,11.43,11.18,11.11,1171981,0,0,11.156,11.214,11.756,905965.37,1195282.99,1836718.84,0.07,-0.98
457,2015/2/16,11.19,11.19,11.07,10.98,1027523.62,-0.11,-0.98,11.164,11.199,11.738,890149.17,1163761.04,1716573.89,0.06,0.09
456,2015/2/17,11.09,11.17,11.08,11.05,729689.25,0.01,0.09,11.134,11.138,11.7,861579.26,1067845.31,1629307.86,0.05,1.35
455,2015/2/25,11.3,11.56,11.23,11.15,1997452.38,0.15,1.35,11.148,11.12,11.627,1142424.25,1106052.64,1553522.99,0.12,0.98
454,2015/2/26,11.16,11.35,11.34,10.9,1652776,0.11,0.98,11.18,11.139,11.563,1315884.45,1122891.67,1511592.13,0.1,0.7
453,2015/2/27,11.29,11.6,11.42,11.19,1961048.25,0.08,0.7,11.228,11.192,11.493,1473697.9,1189831.64,1453952.18,0.12,-0.88
452,2015/3/2,11.44,11.46,11.32,11.23,1467345.5,-0.1,-0.88,11.278,11.221,11.404,1561662.28,1225905.73,1410965.68,0.09,-3.44
