,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
482,2015/1/12,2565.737,2596.268,2543.852,2499.869,1191835.88,-25.167,-0.98,2543.852,2543.852,2543.852,1191835.88,1191835.88,1191835.88,-0.63
481,2015/1/13,2537.975,2567.62,2527.828,2512.861,770790.81,-16.024,-0.63,2535.84,2535.84,2535.84,981313.35,981313.35,981313.35,0.25
480,2015/1/14,2539.249,2569.451,2534.23,2508.657,841223.12,6.402,0.25,2535.303,2535.303,2535.303,934616.6,934616.6,934616.6,3.89
479,2015/1/15,2534.766,2633.397,2632.89,2516.612,1119231.62,98.66,3.89,2559.7,2559.7,2559.7,980770.36,980770.36,980770.36,0.77
478,2015/1/16,2642.744,2685.306,2653.034,2626.82,1349511.75,20.144,0.77,2578.367,2578.367,2578.367,1054518.64,1054518.64,1054518.64,-9.15
477,2015/1/19,2448.927,2512.58,2410.201,2399.435,1401635.75,-242.833,-9.15,2551.637,2550.339,2550.339,1096478.61,1112371.49,1112371.49,-0.27
476,2015/1/20,2381.143,2439.251,2403.724,2355.258,1374766.38,-6.477,-0.27,2526.816,2529.394,2529.394,1217273.72,1149856.47,1149856.47,5.77
475,2015/1/21,2425.261,2553.696,2542.318,2414.885,1488004.75,138.594,5.77,2528.433,2531.01,2531.01,1346630.05,1192125.01,1192125.01,0.08
474,2015/1/22,2546.701,2557.695,2544.308,2504.066,1137087.75,1.99,0.08,2510.717,2532.487,2532.487,1350201.28,1186009.76,1186009.76,0.79
473,2015/1/23,2556.915,2612.931,2564.514,2543.455,1245513.5,20.206,0.79,2493.013,2535.69,2535.69,1329401.63,1191960.13,1191960.13,-0.08
472,2015/1/26,2563.91,2565.362,2562.363,2528.076,959794.69,-2.151,-0.08,2523.445,2537.541,2538.115,1241033.41,1168756.01,1170854.18,-1.57
471,2015/1/27,2570.432,2574.331,2522.103,2473.808,1165428.75,-40.26,-1.57,2547.121,2536.969,2536.78,1199165.89,1208219.81,1170402.06,-1.42
470,2015/1/28,2497.05,2534.583,2486.285,2476.277,863563.81,-35.818,-1.42,2535.915,2532.174,2532.896,1074277.7,1210453.88,1146799.12,-1.78
469,2015/1/29,2444.395,2465.312,2442.038,2419.988,814049.62,-44.247,-1.78,2515.461,2513.089,2526.406,1009670.07,1179935.68,1123031.3,-1.5
468,2015/1/30,2456.054,2471.228,2405.38,2400.628,765911.5,-36.658,-1.5,2483.634,2488.323,2518.338,913749.67,1121575.65,1099223.31,-3.03
467,2015/2/2,2337.196,2376.426,2332.533,2329.151,846768.94,-72.847,-3.03,2437.668,2480.557,2506.725,891144.52,1066088.97,1083444.91,3.14
466,2015/2/3,2362.413,2413.006,2405.76,2335.107,822746.56,73.227,3.14,2414.399,2480.76,2500.786,822608.09,1010886.99,1068109.72,-1.38
465,2015/2/4,2412.754,2439.605,2372.455,2370.569,775313.56,-33.305,-1.38,2391.633,2463.774,2493.656,804958.04,939617.87,1051843.26,-0.99
464,2015/2/5,2456.384,2456.569,2348.921,2348.448,1107132.5,-23.534,-0.99,2373.01,2444.235,2486.039,863574.61,936622.34,1054753.22,-1.01
463,2015/2/6,2335.362,2366.331,2325.241,2303.112,769311.12,-23.68,-1.01,2356.982,2420.308,2477.999,864254.54,889002.1,1040481.12,1.79
