,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
482,2015/1/12,11279.73,11376.088,11285.18,11116.058,139674752,-39.582,-0.35,11285.18,11285.18,11285.18,139674752,139674752,139674752,0.63
481,2015/1/13,11250.878,11418.453,11355.809,11244.423,124074776,70.629,0.63,11320.495,11320.495,11320.495,131874764,131874764,131874764,-1.04
480,2015/1/14,11366.946,11429.307,11237.782,11153.166,121866768,-118.027,-1.04,11292.924,11292.924,11292.924,128538765.3,128538765.3,128538765.3,2.19
479,2015/1/15,11240.837,11483.751,11483.684,11161.519,125831592,245.902,2.19,11340.614,11340.614,11340.614,127861972,127861972,127861972,0.43
478,2015/1/16,11496.763,11583.73,11532.802,11436.277,147255648,49.118,0.43,11379.051,11379.051,11379.051,131740707.2,131740707.2,131740707.2,-6.61
477,2015/1/19,10939.043,11204.489,10770.929,10634.619,195380048,-761.873,-6.61,11276.201,11277.698,11277.698,142881766.4,142347264,142347264,2.09
476,2015/1/20,10761.276,11026.054,10996.482,10750.85,180890064,225.553,2.09,11204.336,11237.524,11237.524,154244824,147853378.3,147853378.3,3.42
475,2015/1/21,11051.948,11395.1,11372.18,11000.741,211736672,375.698,3.42,11231.215,11254.356,11254.356,172218804.8,155838790,155838790,0.87
474,2015/1/22,11358.438,11499.439,11471.209,11342.079,192754272,99.029,0.87,11228.72,11278.451,11278.451,185603340.8,159940510.2,159940510.2,-0.3
473,2015/1/23,11507.438,11554.517,11436.287,11379.963,184716576,-34.922,-0.3,11209.417,11294.234,11294.234,193095526.4,162418116.8,162418116.8,2.19
472,2015/1/26,11564.219,11711.889,11686.967,11512.008,182670704,250.68,2.19,11392.625,11334.413,11329.937,190553657.6,166717712,164259261.1,-1.16
471,2015/1/27,11670.239,11705.906,11551.873,11368.99,204002048,-135.094,-1.16,11503.703,11354.02,11348.432,195176054.4,174710439.2,167571160,-1.71
470,2015/1/28,11484.991,11530.094,11354.201,11309.213,168074640,-197.672,-1.71,11500.107,11365.661,11348.876,186443648,179331226.4,167609889.2,-0.93
469,2015/1/29,11187.297,11319.473,11249.037,11161.43,157201232,-105.164,-0.93,11455.673,11342.197,11341.744,179333040,182468190.4,166866413.7,-0.87
468,2015/1/30,11290.454,11354.094,11150.694,11132.799,155497392,-98.343,-0.87,11398.554,11303.986,11329.008,173489203.2,183292364.8,166108478.9,-1.68
467,2015/2/2,10952.14,11140.97,10963.136,10921.439,133739040,-187.558,-1.68,11253.788,11323.207,11306.141,163702870.4,177128264,164085389,2.24
466,2015/2/3,11077.479,11216.679,11209.19,10993.548,146276256,246.054,2.24,11185.252,11344.477,11300.438,152157712,173666883.2,163037792.9,-0.83
465,2015/2/4,11241.977,11364.375,11116.55,11111.531,156536480,-92.64,-0.83,11137.721,11318.914,11290.222,149850080,168146864,162676608.9,-0.46
464,2015/2/5,11367.142,11386.734,11065.578,11065.578,176346160,-50.972,-0.46,11101.03,11278.351,11278.398,153679065.6,166506052.8,163396059,-2.48
463,2015/2/6,11022.487,11054.94,10791.103,10715.43,150814384,-274.475,-2.48,11029.111,11213.833,11254.034,152742464,163115833.6,162766975.2,0.71
462,2015/2/9,10792.004,10975.847,10868.141,10760.047,120543176,77.038,0.71,11010.112,11131.95,11233.182,150103291.2,156903080.8,161810396.4,2.47
461,2015/2/10,10887.681,11136.62,11136.62,10875.285,108338192,268.479,2.47,10995.598,11090.425,11222.222,142515678.4,147336695.2,161023567.2,1.16
460,2015/2/11,11174.306,11318.458,11265.626,11167.122,128216720,129.006,1.16,11025.414,11081.568,11223.614,136851726.4,143350903.2,161341064.8,0.33
459,2015/2/12,11268.586,11348.316,11302.731,11185.003,133836200,37.105,0.33,11072.844,11086.937,11214.567,128349734.4,141014400,161741295.2,1.24
458,2015/2/13,11362.003,11564.682,11443.052,11338.012,166967808,140.321,1.24,11203.234,11116.173,11210.079,131580419.2,142161441.6,162726903.2,1.33
457,2015/2/16,11474.877,11606.014,11595.253,11437.74,166436048,152.201,1.33,11348.656,11179.384,11251.296,140758993.6,145431142.4,161279703.2,1.06
456,2015/2/17,11658.05,11772.15,11718.562,11644.539,149360512,123.309,1.06,11465.045,11230.322,11287.4,148963457.6,145739568,159703225.6,1.37
455,2015/2/24,11785.217,11932.632,11879.287,11783.088,4057951.75,160.725,1.37,11587.777,11306.595,11312.755,124131704,130491715.2,149319289.6,-1.53
454,2015/2/25,11755.183,11755.183,11539.7,11500.691,152713040,-178.862,-1.53,11635.171,11354.008,11316.179,127907072,128128403.2,147317228,1.83
453,2015/2/26,11526.511,11752.01,11750.78,11470.427,165245776,211.08,1.83,11696.716,11449.975,11331.904,127562665.6,129571542.4,146343688,0.06
452,2015/2/27,11736.289,11819.417,11757.684,11719.664,182015568,6.904,0.06,11729.203,11538.93,11335.44,130678569.6,135718781.6,146310931.2,1.07
451,2015/3/2,11869.958,11955.815,11884.017,11781.61,241960800,126.333,1.07,11762.294,11613.669,11352.047,149198627.2,149081042.4,148208868.8,-3.01
450,2015/3/3,11800.989,11800.989,11526.223,11515.552,253464624,-357.794,-3.01,11691.681,11639.729,11360.648,199079961.6,161605832.8,152478368,1.12
449,2015/3/4,11530.935,11688.279,11655.075,11521.696,218303072,128.852,1.12,11714.756,11674.963,11380.95,212197968,170052520,155533460,-0.76
448,2015/3/5,11597.488,11628.147,11566.388,11484.796,224195904,-88.687,-0.76,11677.877,11687.297,11401.735,223987993.6,175775329.6,158968385.6,-1.5
447,2015/3/6,11600.66,11626.106,11392.397,11381.905,202058640,-173.991,-1.5,11604.82,11667.011,11423.198,227996608,179337588.8,162384365.6,1.24
446,2015/3/9,11280.019,11547.83,11533.231,11169.051,184948416,140.834,1.24,11534.663,11648.478,11439.4,216594131.2,182896379.2,164317973.6,0.2
445,2015/3/10,11501.978,11649.251,11556.653,11479.275,195230720,23.422,0.2,11540.749,11616.215,11461.405,204947350.4,202013656,166252685.6,-0.27
444,2015/3/11,11554.664,11682.541,11525.088,11491.687,193400960,-31.565,-0.27,11514.751,11614.754,11484.381,199966928,206082448,167105425.6,0.96
443,2015/3/12,11593.69,11645.561,11635.589,11516.247,198461280,110.501,0.96,11528.592,11603.234,11526.605,194820003.2,209403998.4,169487770.4,0.67
442,2015/3/13,11680.471,11751.195,11713.611,11654.192,179148224,78.022,0.67,11592.834,11598.827,11568.878,190237920,209117264,172418022.8,2.6
441,2015/3/16,11791.417,12021.823,12017.773,11748.083,254026624,304.162,2.6,11689.743,11612.203,11612.936,204053561.6,210323846.4,179702444.4,1.26
440,2015/3/17,12083.438,12190.276,12169.516,12046.798,315381792,151.743,1.26,11812.315,11676.532,11658.131,228083776,216515563.2,189060698,2.69
439,2015/3/18,12206.717,12505.342,12496.239,12190.254,322145856,326.723,2.69,12006.546,11760.649,11717.806,253832755.2,226899841.6,198476180.8,-0.54
438,2015/3/19,12549.547,12552.711,12429.111,12337.675,311638336,-67.128,-0.54,12165.25,11846.921,11767.109,276468166.4,235644084.8,205709707.2,0.93
437,2015/3/20,12427.414,12659.829,12544.454,12387.888,297874048,115.343,0.93,12331.419,11962.127,11814.569,300213331.2,245225625.6,212281607.2,1.88
436,2015/3/23,12644.19,12813.833,12780.317,12644.19,322820800,235.863,1.88,12483.927,12086.835,11867.657,313972166.4,259012864,220954621.6,0.16
435,2015/3/24,12841.145,12841.445,12801.202,12495.917,390785344,20.885,0.16,12610.265,12211.29,11913.752,329052876.8,278568326.4,240290991.2,-0.34
434,2015/3/25,12776.003,12841.903,12757.095,12656.523,333240448,-44.107,-0.34,12662.436,12334.491,11974.622,331271795.2,292552275.2,249317361.6,-0.35
433,2015/3/26,12703.346,12856.213,12712.979,12601.749,307857600,-44.116,-0.35,12719.209,12442.23,12022.732,330515648,303491907.2,256447952.8,1.27
432,2015/3/27,12779.326,12930.241,12874.424,12717.431,236975840,161.445,1.27,12785.203,12558.311,12078.569,318336006.4,309274668.8,259195966.4,2.48
431,2015/3/30,12917.136,13242.306,13193.316,12894.494,298051200,318.892,2.48,12867.803,12675.865,12144.034,313382086.4,313677126.4,262000486.4,-0.25
430,2015/3/31,13420.923,13538.287,13160.664,13106.969,317728608,-32.652,-0.25,12939.696,12774.98,12225.756,298770739.2,313911808,265213685.6,1.78
429,2015/4/1,13187.422,13454.812,13394.725,13142.401,287875616,234.061,1.78,13067.222,12864.829,12312.739,289697772.8,310484784,268692312.8,0.23
428,2015/4/2,13486.895,13537.38,13426.1,13235.279,321767136,31.375,0.23,13209.846,12964.528,12405.724,292479680,311497664,273570874.4,0.51
427,2015/4/3,13336.866,13502.467,13494.641,13296.945,326233568,68.541,0.51,13333.889,13059.546,12510.836,310331225.6,314333616,279779620.8,2.03
426,2015/4/7,13626.621,13769.763,13768.728,13625.26,344476960,274.087,2.03,13448.972,13158.387,12622.611,319616377.6,316499232,287756048,0.53
425,2015/4/8,13814.979,13846.55,13841.717,13513.145,361429216,72.989,0.53,13585.182,13262.439,12736.864,328356499.2,313563619.2,296065972.8,-0.33
424,2015/4/9,13898.493,13914.007,13796.733,13505.852,346150560,-44.984,-0.33,13665.584,13366.403,12850.447,340011488,314854630.4,303703452.8,1.57
423,2015/4/10,13718.925,14034.31,14013.335,13650.324,295307904,216.602,1.57,13783.031,13496.438,12969.334,334719641.6,313599660.8,308545784,0.97
422,2015/4/13,14100.353,14175.356,14149.505,13972.41,332808096,136.17,0.97,13914.004,13623.946,13091.129,336034547.2,323182886.4,316228777.6,-0.76
421,2015/4/14,14132.612,14221.506,14042.464,13920.064,326909088,-107.041,-0.76,13968.751,13708.861,13192.363,332520972.8,326068675.2,319872900.8,-2.82
420,2015/4/15,14023.402,14023.402,13646.607,13646.607,311574176,-395.857,-2.82,13929.729,13757.456,13266.218,322549964.8,325453232,319682520,2.35
419,2015/4/16,13549.873,14024.677,13967.802,13492.766,259650096,321.195,2.35,13963.943,13814.763,13339.796,305249872,322630680,316557732,1.3
418,2015/4/17,14120.773,14249.468,14149.342,14039.036,334301248,181.54,1.3,13991.144,13887.087,13425.808,313048540.8,323884091.2,317690877.6,-1.96
417,2015/4/20,14132.829,14288.325,13871.599,13814.961,370369408,-277.743,-1.96,13935.563,13924.783,13492.165,320560803.2,328297675.2,321315645.6,4.09
416,2015/4/21,13882.436,14438.995,14438.995,13882.436,309272608,567.396,4.09,14014.869,13991.81,13575.099,317033507.2,324777240,320638236,2.15
415,2015/4/22,14529.244,14756.152,14749.133,14510.934,363904288,310.138,2.15,14235.374,14082.552,13672.495,327499529.6,325024747.2,319294183.2,-0.04
414,2015/4/23,14842.205,14893.01,14743.217,14647.138,378663776,-5.916,-0.04,14390.457,14177.2,13771.801,351302265.6,328276068.8,321565349.6,-0.98
413,2015/4/24,14615.535,14771.287,14598.695,14422.537,353165952,-144.522,-0.98,14480.328,14235.736,13866.087,355075206.4,334061873.6,323830767.2,1.44
412,2015/4/27,14749.024,14910.313,14809.424,14644.007,345252672,210.729,1.44,14667.893,14301.728,13962.837,350051859.2,335306331.2,329244608.8,-0.69
411,2015/4/28,14946.95,14979.81,14707.245,14580.422,333952864,-102.179,-0.69,14721.543,14368.206,14038.534,354987910.4,336010708.8,331039692,1.12
410,2015/4/29,14669.217,14907.957,14871.952,14542.321,272506016,164.707,1.12,14746.107,14490.74,14124.098,336708256,332103892.8,328778562.4,-0.36
409,2015/4/30,14909.06,15009.729,14818.64,14818.64,276318720,-53.312,-0.36,14761.191,14575.824,14195.294,316239244.8,333770755.2,328200717.6,0.28
408,2015/5/4,14846.478,14958.791,14860.53,14714.912,264061792,41.89,0.28,14813.558,14646.943,14267.015,298418412.8,326746809.6,325315450.4,-4.22
407,2015/5/5,14831.905,14831.905,14233.098,14145.501,300637792,-627.432,-4.22,14698.293,14683.093,14303.938,289495436.8,319773648,324035661.6,-0.68
406,2015/5/6,14347.55,14569.645,14136.166,14032.021,266597216,-96.932,-0.68,14584.077,14652.81,14322.31,276024307.2,315506108.8,320141674.4,-0.15
405,2015/5/7,14080.355,14226.08,14114.728,14027.603,226513296,-21.438,-0.15,14432.632,14589.37,14335.961,266825763.2,301767009.6,313395878.4,2.6
404,2015/5/8,14271.461,14481.438,14481.249,14165.07,254235472,366.521,2.6,14365.154,14563.173,14370.186,262409113.6,289324179.2,308800124,3.2
403,2015/5/11,14572.815,14946.651,14944.883,14447.781,317394176,463.634,3.2,14382.025,14597.792,14416.764,273075590.4,285747001.6,309904437.6,0.81
402,2015/5/12,14975.226,15088.96,15066.289,14879.597,334000960,121.406,0.81,14548.663,14623.478,14462.603,279748224,284621830.4,309964080.8,0.71
401,2015/5/13,15075.024,15245.813,15173.092,14962.377,347022208,106.803,0.71,14756.048,14670.063,14519.134,295833222.4,285928764.8,310969736.8,-0.98
400,2015/5/14,15210.753,15299.794,15024.468,15003.723,337960224,-148.624,-0.98,14937.996,14685.314,14588.027,318122608,292474185.6,312289039.2,-2.19
399,2015/5/15,14955.411,14955.411,14694.947,14590.757,311171360,-329.521,-2.19,14980.736,14672.945,14624.385,329509785.6,295959449.6,314865102.4,-0.15
398,2015/5/18,14612.884,14759.086,14672.632,14564.733,295493120,-22.315,-0.15,14926.286,14654.155,14650.549,325129574.4,299102582.4,312924696,3.1
397,2015/5/19,14723.214,15173.919,15127.376,14704.328,318039840,454.744,3.1,14938.503,14743.583,14713.338,321937350.4,300842787.2,310308217.6,1.39
396,2015/5/20,15206.559,15618.128,15337.083,15206.559,379613280,209.707,1.39,14971.301,14863.675,14758.242,328455564.8,312144393.6,313825251.2,3.49
395,2015/5/21,15402.948,15872.588,15872.534,15402.948,355766464,535.451,3.49,15140.914,15039.455,14814.412,332016812.8,325069710.4,313418360,1.09
394,2015/5/22,16084.038,16191.152,16045.797,15731.01,436129056,173.263,1.09,15411.084,15195.91,14879.541,357008352,343259068.8,316291624,1.9
393,2015/5/25,15894.14,16368.908,16351.056,15810.149,421405376,305.259,1.9,15746.769,15336.527,14967.159,382190803.2,353660188.8,319703595.2,3.38
392,2015/5/26,16456.23,16904.146,16903.471,16397.504,446921472,552.415,3.38,16101.988,15520.246,15071.862,407967129.6,364952240,324787035.2,0.35
391,2015/5/27,16988.904,17061.918,16963.521,16610.779,444795232,60.051,0.35,16427.276,15699.289,15184.676,421003520,374729542.4,330329153.6,-6.19
390,2015/5/28,16953.604,17153.803,15912.947,15909.101,522049632,-1050.575,-6.19,16435.358,15788.136,15236.725,454260153.6,393138483.2,342806334.4,1.18
389,2015/5/29,15920.326,16386.055,16100.448,15299.647,412437248,187.501,1.18,16446.289,15928.687,15300.816,449521792,403265072,349612260.8,5.08
388,2015/6/1,16247.389,16921.066,16917.525,16245.553,364798784,817.077,5.08,16559.582,16153.176,15403.666,438200473.6,410195638.4,354649110.4,3.36
387,2015/6/2,17051.221,17485.578,17485.578,16963.738,396498432,568.053,3.36,16676.004,16388.996,15566.289,428115865.6,418041497.6,359442142.4,0.3
386,2015/6/3,17626.916,17696.477,17538.504,17098.432,407201728,52.925,0.3,16791,16609.138,15736.406,420597164.8,420800342.4,366472368,-0.21
385,2015/6/4,17579.357,17608.725,17501.053,16426.312,401600064,-37.451,-0.21,17108.622,16771.99,15905.723,396507251.2,425383702.4,375226706.4,0.85
384,2015/6/5,17727.859,17901.863,17649.086,17302.555,444202400,148.034,0.85,17418.349,16932.319,16064.114,402860281.6,426191036.8,384725052.8,-1.11
383,2015/6/8,17648.723,17648.723,17452.309,17145.697,420823904,-196.778,-1.11,17525.306,17042.444,16189.486,414065305.6,426132889.6,389896539.2,-0.3
382,2015/6/9,17410.641,17609.275,17398.996,17184.324,347168448,-53.312,-0.3,17507.99,17091.997,16306.121,404199308.8,416157587.2,390554913.6,1.6
381,2015/6/10,17297.039,17852.359,17677.572,17165.895,358761344,278.576,1.6,17535.803,17163.402,16431.345,394511232,407554198.4,391141870.4,1.2
380,2015/6/11,17692.898,17889.91,17889.689,17606.426,351087904,212.117,1.2,17613.53,17361.076,16574.606,384408800,390458025.6,391798254.4,1.17
379,2015/6/12,17978.049,18198.072,18098.273,17921.91,385071968,208.585,1.17,17703.368,17560.859,16744.773,372582713.6,387721497.6,395493284.8,-2.19
378,2015/6/15,18182.643,18211.758,17702.551,17668.67,406178336,-395.723,-2.19,17753.416,17639.361,16896.268,369653600,391859452.8,401027545.6,-3.54
377,2015/6/16,17502.367,17502.367,17075.932,16911.91,353020384,-626.62,-3.54,17688.803,17598.397,16993.696,370823987.2,387511648,402776572.8,1.93
376,2015/6/17,17073.078,17474.078,17405.57,16564.365,312419168,329.64,1.93,17634.403,17585.103,17097.121,361555552,378033392,399416867.2,-3.85
375,2015/6/18,17367.129,17442.77,16734.84,16709.604,289059712,-670.732,-3.85,17403.433,17508.482,17140.236,349149913.6,366779356.8,396081529.6,-6.03
374,2015/6/19,16386.98,16578.877,15725.47,15700.494,289646432,-1009.369,-6.03,16928.873,17316.12,17124.22,330064806.4,351323760,388757398.4,2.04
373,2015/6/23,15720.321,16047.316,16045.989,14938.821,292927744,320.519,2.04,16597.56,17175.488,17108.966,307414688,338534144,382333516.8,1.66
372,2015/6/24,16178.553,16345.749,16312.311,15867.912,332173440,266.322,1.66,16444.836,17066.82,17079.408,303245299.2,337034643.2,376596115.2,-3.8
371,2015/6/25,16369.995,16399.344,15692.444,15499.223,331715680,-619.867,-3.8,16102.211,16868.307,17015.854,307104601.6,334330076.8,370942137.6,-8.24
370,2015/6/26,15196.558,15229.001,14398.785,14321.052,294665856,-1293.659,-8.24,15635,16519.216,16940.146,308225830.4,328687872,359572948.8,-5.78
369,2015/6/29,14703.966,14712.163,13566.271,13250.347,358946944,-832.514,-5.78,15203.16,16066.016,16813.437,322085932.8,326075369.6,356898433.6,5.69
368,2015/6/30,13274.645,14352.052,14337.965,12723.159,399540096,771.694,5.69,14861.555,15729.558,16684.459,343408403.2,325411545.6,358635499.2,-4.79
367,2015/7/1,14185.102,14696.982,13650.816,13578.375,348742112,-687.149,-4.79,14329.256,15387.046,16492.721,346722137.6,324983718.4,356247683.2,-5.32
366,2015/7/2,13655.732,13732.494,12924.19,12727.229,320735072,-726.626,-5.32,13775.605,14938.908,16262.006,344526016,325815308.8,351924350.4,-5.25
365,2015/7/3,12475.61,13154.131,12246.062,11953.081,315536192,-678.128,-5.25,13345.061,14490.03,15999.256,348700083.2,328462956.8,347621156.8,-1.39
364,2015/7/6,13140.14,13140.14,12075.769,11584.471,396337984,-170.293,-1.39,13046.96,14125.06,15720.59,356178291.2,339132112,345227936,-5.8
363,2015/7/7,11660.56,11767.66,11375.604,11282.623,227324032,-700.165,-5.8,12454.488,13658.022,15416.755,321735078.4,332571740.8,335552942.4,-2.94
362,2015/7/8,10870.144,11112.616,11040.889,10850.384,307328576,-334.715,-2.94,11932.503,13130.88,15098.85,313452371.2,330087254.4,333560948.8,4.25
361,2015/7/9,10953.332,11513.36,11510.34,10932.997,207454528,469.451,4.25,11649.733,12712.669,14790.488,290796262.4,317661139.2,325995608,4.58
360,2015/7/10,11733.448,12062.902,12038.145,11696.769,158915232,527.805,4.58,11608.149,12476.605,14497.911,259472070.4,304086076.8,316386974.4,4.79
359,2015/7/13,12367.618,12658.069,12614.155,12261.253,233849120,576.01,4.79,11715.827,12381.394,14223.705,226974297.6,291576294.4,308825832,0.91
358,2015/7/14,12796.485,13091.928,12728.513,12635.197,285635136,114.358,0.91,11986.408,12220.448,13975.003,238636518.4,280185798.4,302798672,-4.68
357,2015/7/15,12783.075,12792.311,12132.419,12093.9,345295424,-596.094,-4.68,12204.714,12068.609,13727.827,246229888,279841129.6,302412424,1.86
356,2015/7/16,11963.351,12600.653,12357.606,11637.472,324294144,225.187,1.86,12374.168,12011.95,13475.429,269597811.2,280197036.8,303006172.8,5.24
355,2015/7/17,12460.507,13097.454,13004.957,12435.595,307007648,647.351,5.24,12567.53,12087.84,13288.935,299216294.4,279344182.4,303903569.6,1.52
354,2015/7/20,13115.48,13427.863,13202.395,12942.945,358165184,197.438,1.52,12685.178,12200.502,13162.781,324079507.2,275526902.4,307329507.2,0.86
353,2015/7/21,13038.148,13436.912,13315.556,12928.133,312415712,113.161,0.86,12802.587,12394.498,13026.26,329435622.4,284036070.4,308303905.6,0.76
352,2015/7/22,13307.932,13482.039,13416.536,13098.805,334908928,100.98,0.76,13059.41,12632.062,12881.471,327358323.2,286794105.6,308440680,2.52
351,2015/7/23,13432.612,13792.365,13754.528,13356.055,367043488,337.992,2.52,13338.794,12856.481,12784.575,335908192,302753001.6,310207070.4,-1.72
350,2015/7/24,13789.313,13970.836,13518.515,13424.181,400855936,-236.013,-1.72,13441.506,13004.518,12740.562,354677849.6,326947072,315516574.4,-7.59
349,2015/7/27,13242.69,13579.639,12493.046,12488.367,364439040,-1025.469,-7.59,13299.636,12992.407,12686.9,355932620.8,340006064,315791179.2,-1.41
348,2015/7/28,11986.247,12676.273,12316.776,11718.996,374311040,-176.27,-1.41,13099.88,12951.233,12585.841,368311686.4,348873654.4,314529726.4,4.11
347,2015/7/29,12472.275,12823.147,12823.073,12078.315,296488768,506.297,4.11,12981.188,13020.299,12544.454,360627654.4,343992988.8,311917059.2,-3.33
346,2015/7/30,12766.342,12988.555,12395.922,12382.296,299458528,-427.151,-3.33,12709.466,13024.13,12518.04,347110662.4,341509427.2,310853232,-0.17
345,2015/7/31,12228.413,12580.961,12374.254,12213.462,235191520,-21.668,-0.17,12480.614,12961.06,12524.45,313977779.2,334327814.4,306835998.4,-1.72
344,2015/8/3,12178.572,12305.613,12161.576,11909.005,243737072,-212.678,-1.72,12414.32,12856.978,12528.74,289837385.6,322885003.2,299205952.8,4.52
343,2015/8/4,12163.121,12711.562,12711.562,12105.937,261600704,549.986,4.52,12493.277,12796.579,12595.538,267295318.4,317803502.4,300919786.4,-1.47
342,2015/8/5,12694.571,12842.31,12524.686,12447.037,271150784,-186.876,-1.47,12433.6,12707.394,12669.728,262227721.6,311427688,299110896.8,-0.82
341,2015/8/6,12274.724,12595.123,12421.849,12231.888,202229168,-102.837,-0.82,12438.785,12574.126,12715.303,242781849.6,294946256,298849628.8,2.67
340,2015/8/7,12543.656,12769.133,12753.049,12522.473,251888048,331.2,2.67,12514.544,12497.579,12751.049,246121155.2,280049467.2,303498269.6,4.31
339,2015/8/10,12877.307,13373.304,13302.962,12821.892,323080736,549.913,4.31,12742.822,12578.571,12785.489,261989888,275913636.8,307959850.4,0.15
338,2015/8/11,13316.888,13508.299,13323.085,13240.088,351829888,20.123,0.15,12865.126,12679.202,12815.218,280035724.8,273665521.6,311269588,-1.55
337,2015/8/12,13201.538,13396.335,13117.101,13117.101,285113792,-205.984,-1.55,12983.609,12708.605,12864.452,282828326.4,272528024,308260506.4,2.12
336,2015/8/13,13069.983,13395.176,13395.176,12962,287062464,278.075,2.12,13178.275,12808.53,12916.33,299794985.6,271288417.6,306398922.4,0.38
